"forms","pronunciation","translation_ru","category"
"πρέπει","прЭпи","нужно, должен","глаголы"
"βλέπω","влЭпо","видеть","глаголы"
"ακούω","акУо","слышать","глаголы"
"σκέφτομαι","скЭфтомэ","думать","глаголы"
"νομίζω","номИзо","думать, полагать","глаголы"
"ξεχνάω","ксэхнАо","забывать","глаголы"
"θυμάμαι","тимАмэ","помнить","глаголы"
"αγαπάω","агапАо","любить","глаголы"
"μου αρέσει","му арЭси","мне нравится","глаголы"
"δίνω","дИно","давать","глаголы"
"παίρνω","пЭрно","брать","глаголы"
"βάζω","вАзо","класть, ставить","глаголы"
"βγάζω","вгАзо","снимать, вынимать","глаголы"
"ανοίγω","анИго","открывать","глаголы"
"κλείνω","клИно","закрывать","глаголы"
"μένω","мЭно","жить, оставаться","глаголы"
"ζω","зо","жить","глаголы"
"εργάζομαι","эргАзомэ","трудиться, работать","глаголы"
"ξεκινάω","ксэкинАо","начинать","глаголы"
"τελειώνω","тэльОно","заканчивать","глаголы"
"σταματάω","стаматАо","останавливать(ся)","глаголы"
"περιμένω","пэримЭно","ждать","глаголы"
"βοηθάω","воитАо","помогать","глаголы"
"χρειάζομαι","хрьАзомэ","нуждаться","глаголы"
"χαίρομαι","хЭромэ","радоваться","глаголы"
"στεναχωριέμαι","стэнахорьЭмэ","огорчаться","глаголы"
"φοβάμαι","фовАмэ","бояться","глаголы"
"κοιμάμαι","кимАмэ","спать","глаголы"
"ξυπνάω","ксипнАо","просыпаться","глаголы"
"σηκώνομαι","сикОномэ","вставать","глаголы"
"πλένομαι","плЭномэ","мыться","глаголы"
"μαγειρεύω","майирЭво","готовить (еду)","глаголы"
"πλένω","плЭно","мыть","глаголы"
"στέλνω","стЭлно","отправлять","глаголы"
"χάνω","хАно","терять","глаголы"
"βρίσκω","врИско","находить","глаголы"
"μπαίνω","бЭно","входить","глаголы"
"βγαίνω","вьЭно","выходить","глаголы"
"ανεβαίνω","анэвЭно","подниматься","глаголы"
"κατεβαίνω","катэвЭно","спускаться","глаголы"
"γελάω","йэлАо","смеяться","глаголы"
"κλαίω","клЭо","плакать","глаголы"
"κερδίζω","кэрдИзо","выигрывать","глаголы"
"νικάω","никАо","побеждать","глаголы"
"προσπαθώ","проспатО","пытаться, стараться","глаголы"
"καταφέρνω","катафЭрно","суметь, справиться","глаголы"
"και","кэ","и","служебные слова"
"ή","и","или","служебные слова"
"αλλά","алА","но","служебные слова"
"όμως","Омос","однако","служебные слова"
"επειδή","эпидИ","так как","служебные слова"
"αν","ан","если","служебные слова"
"όταν","Отан","когда (союз)","служебные слова"
"ότι","Оти","что (союз)","служебные слова"
"για","я","для, за","служебные слова"
"με","мэ","с (инструментальное)","служебные слова"
"χωρίς","хорИс","без","служебные слова"
"από","апО","от, из","служебные слова"
"σε (στο, στη, στον)","сэ","в, на, к","служебные слова"
"μέσα","мЭса","внутри","служебные слова"
"έξω","Эксо","снаружи","служебные слова"
"πάνω","пАно","наверху, на","служебные слова"
"κάτω","кАто","внизу, под","служебные слова"
"μπροστά","бростА","впереди","служебные слова"
"πίσω","пИсо","сзади","служебные слова"
"δίπλα","дИпла","рядом","служебные слова"
"ανάμεσα","анАмэса","между","служебные слова"
"πολύ","полИ","очень, много","служебные слова"
"λίγο","лИго","немного","служебные слова"
"πάρα πολύ","пАра полИ","очень сильно","служебные слова"
"μόνο","мОно","только","служебные слова"
"επίσης","эпИсис","также","служебные слова"
"ακόμα","акОма","ещё","служебные слова"
"ήδη","Иди","уже","служебные слова"
"ο σκύλος","о скИлос","собака","животные"
"η γάτα","и гАта","кошка","животные"
"το πουλί","то пулИ","птица","животные"
"το άλογο","то Алого","лошадь","животные"
"η αγελάδα","и айэлАда","корова","животные"
"το πρόβατο","то прОвато","овца","животные"
"το κουνέλι","то кунЭли","кролик","животные"
"το ποντίκι","то пондИки","мышь","животные"
"η αλεπού","и алэпУ","лиса","животные"
"η αρκούδα","и аркУда","медведь","животные"
"το λιοντάρι","то льондАри","лев","животные"
"ο ελέφαντας","о элЭфандас","слон","животные"
"η πεταλούδα","и пэталУда","бабочка","животные"
"η μέλισσα","и мЭлиса","пчела","животные"
