"forms","pronunciation","translation_ru","category"
"θα","та","частица будущего времени","служебные слова"
"η θέα","и тЭа","вид (пейзаж)","город и направления"
"ο θεατής; η θεατής","о тэатИс; и тэатИс","зритель","досуг и спорт"
"το θέατρο","то тЭатро","театр","досуг и спорт"
"θεατρικός; θεατρική; θεατρικό","тэатрикОс; тэатрикИ; тэатрикО","театральный","прилагательные"
"το θέμα","то тЭма","тема, вопрос","учёба"
"η θέση","и тЭси","место, позиция","служебные слова"
"θετικά","тэтикА","положительно","служебные слова"
"η θήκη","и тИки","футляр, чехол","служебные слова"
"τα Θρησκευτικά","та трискэфтикА","урок религии (школьный предмет)","учёба"
"θυμίζω","тимИзо","напоминать","глаголы"
"η ιδέα","и идЭа","идея","служебные слова"
"ιδιαίτερα","идьЭтэра","особенно, в частности","служебные слова"
"το ίδρυμα","то Идрима","учреждение, фонд","служебные слова"
"ιερός; ιερή; ιερό","иэрОс; иэрИ; иэрО","святой, священный","прилагательные"
"το ισόγειο","то исОйо","первый этаж (на уровне земли)","дом"
"η ικανότητα","и иканОтита","способность, умение","служебные слова"
"ίσιος; ίσια; ίσιο","Исьос; Исья; Исьо","прямой","прилагательные"
"η ιστοσελίδα","и истосэлИда","веб-страница, сайт","служебные слова"
"η ιστορία","и исторИа","история, рассказ","служебные слова"
"η Ιστορία","и исторИа","история (школьный предмет)","учёба"
"το κάδρο","то кАдро","рамка для фото","дом"
"το κάγκελο","то кАнгэло","перила, решётка","дом"
"το καθαριστικό","то катаристикО","чистящее средство","дом"
"κάθετα","кАтэта","вертикально, поперёк","служебные слова"
"καθημερινά","катимэринА","ежедневно","служебные слова"
"ο καθηγητής; η καθηγήτρια","о катийитИс; и катийИтрья","преподаватель, учитель","работа и профессии"
"καθόλου","катОлу","вовсе, совсем (не)","служебные слова"
"κάθομαι","кАтомэ","сидеть, садиться","глаголы"
"η καθυστέρηση","и катистЭриси","задержка","служебные слова"
"αυτόν τον καιρό","афтОн тон кэрО","в настоящий момент","время"
"καίω","кЭо","жечь, гореть","глаголы"
"τα κάλαντα","та кАланда","рождественские колядки","время"
"καλεσμένος; καλεσμένη","калэсмЭнос; калэсмЭни","приглашённый, гость","семья и люди"
"ο καλλιτέχνης; η καλλιτέχνης","о калитЭхнис; и калитЭхнис","художник, артист","работа и профессии"
"το καλλυντικό","то калиндикО","косметическое средство","покупки и деньги"
"Καλές γιορτές!","калЭс йортЭс!","С праздником!","приветствия"
"Καλή χρονιά!","калИ хроньА!","С Новым годом!","приветствия"
"Καλή όρεξη!","калИ Орэкси!","Приятного аппетита!","приветствия"
"το καλαμπόκι","то каламбОки","кукуруза","еда и напитки"
"καλύπτω","калИпто","покрывать, накрывать","глаголы"
"καλώ","калО","звонить (по телефону)","глаголы"
"καλώ","калО","приглашать","глаголы"
"το κανάλι","то канАли","канал (ТВ)","досуг и спорт"
"κανένας; καμία; κανένα","канЭнас; камИа; канЭна","никто, ничто","местоимения и вопросы"
"κανένας; καμία; κανένα","канЭнас; камИа; канЭна","кто-нибудь, что-нибудь","местоимения и вопросы"
"κανονικός; κανονική; κανονικό","каноникОс; каноникИ; каноникО","нормальный, обычный","прилагательные"
"κανονικά","каноникА","обычно, нормально","служебные слова"
"Πόσο κάνει;","пОсо кАни;","Сколько это стоит?","покупки и деньги"
"κάποιος; κάποια","кАпьос; кАпья","кто-то, некто","местоимения и вопросы"
"κάποιος; κάποια; κάποιο","кАпьос; кАпья; кАпьо","какой-то, некоторый","местоимения и вопросы"
"το καράβι","то карАви","корабль, судно","транспорт и путешествия"
"ο καρδιολόγος; η καρδιολόγος","о кардьолОгос; и кардьолОгос","кардиолог","работа и профессии"
"το καρναβάλι","то карнавАли","карнавал","время"
"το καρότο","то карОто","морковь","еда и напитки"
"η κάρτα","и кАрта","карта, открытка","служебные слова"
"το καρύδι","то карИди","грецкий орех","еда и напитки"
"το κάστρο","то кАстро","замок, крепость","город и направления"
"η κατάθεση","и катАтэси","вклад, депозит","покупки и деньги"
"η καταιγίδα","и катэйИда","гроза, буря","погода и природа"
"κατάλληλος; κατάλληλη; κατάλληλο","катАлилос; катАлили; катАлило","подходящий, уместный","прилагательные"
"η κατανόηση γραπτού λόγου","и катанОиси граптУ лОгу","понимание письменной речи (чтение)","учёба"
"η κατανόηση προφορικού λόγου","и катанОиси профорикУ лОгу","понимание устной речи (аудирование)","учёба"
"καταπληκτικός; καταπληκτική; καταπληκτικό","катапликтикОс; катапликтикИ; катапликтикО","потрясающий, удивительный","прилагательные"
"καταπληκτικά","катапликтикА","потрясающе, удивительно","служебные слова"
"η κατάσταση","и катАстаси","состояние, ситуация","служебные слова"
"το κατάστημα","то катАстима","магазин","покупки и деньги"
"κατεβάζω μουσική","катэвАзо мусикИ","скачивать музыку","служебные слова"
"η κατηγορία","и катигорИа","категория","служебные слова"
"ο κάτοικος; η κάτοικος","о кАтикос; и кАтикос","житель","город и направления"
"η κατσαρόλα","и кацарОла","кастрюля","дом"
"το κέικ","то кэик","кекс, торт","еда и напитки"
"το κείμενο","то кИмэно","текст","учёба"
"το κενό","то кэнО","пробел, пустота","служебные слова"
"το κεφαλαίο γράμμα","то кэфалЭо грАма","заглавная буква","учёба"
"η καφετέρια","и кафэтЭрья","кафе, кофейня","город и направления"
"το κελί","то кэлИ","камера, келья","служебные слова"
"κεντρικός; κεντρική; κεντρικό","кэндрикОс; кэндрикИ; кэндрикО","центральный","прилагательные"
"το κεντρικό δελτίο ειδήσεων","то кэндрикО дэлтИо идИсэон","главный выпуск новостей","досуг и спорт"
"το ΚΕΠ (Κέντρο Εξυπηρέτησης Πολιτών)","кэп","центр обслуживания граждан","служебные слова"
"ο κεραυνός","о кэравнОс","молния (разряд)","погода и природа"
"το κεράσι","то кэрАси","вишня, черешня","еда и напитки"
"η κιθάρα","и китАра","гитара","досуг и спорт"
"το κιλό","то килО","килограмм","покупки и деньги"
"ο κίνδυνος","о кИндинос","опасность, риск","служебные слова"
"ο κινηματογράφος","о киниматогрАфос","кинотеатр, кино","досуг и спорт"
"η κίνηση","и кИниси","движение, трафик","транспорт и путешествия"
"το κινητό τηλέφωνο","то кинитО тилЭфоно","мобильный телефон","служебные слова"
"κιόλας","кьОлас","уже","служебные слова"
"κλασικός; κλασική; κλασικό","класикОс; класикИ; класикО","классический","прилагательные"
"η κλειδί-λέξη","и клидИ-лЭкси","ключевое слово","учёба"
"κλειδώνω","клидОно","запирать на ключ","глаголы"
"κλειστός; κλειστή; κλειστό","клистОс; клистИ; клистО","выключенный (о технике)","прилагательные"
"ο κλέφτης; η κλέφτρα","о клЭфтис; и клЭфтра","вор","семья и люди"
"η κλοπή","и клопИ","кража","служебные слова"
"ο κλόουν","о клОун","клоун","работа и профессии"
"κόβω","кОво","резать, стричь","глаголы"
"το κομμάτι","то комАти","часть, кусок","служебные слова"
"κοινωνικός; κοινωνική; κοινωνικό","киноникОс; киноникИ; киноникО","социальный, общительный","прилагательные"
"κοιτώ; κοιτάζω","китО; китАзо","смотреть","глаголы"
"κόκκινος; κόκκινη; κόκκινο","кОкинос; кОкини; кОкино","красный","цвета"
"κολλάω; κολλώ","колАо; колО","клеить, прилипать","глаголы"
"η κολόνα","и колОна","колонна","город и направления"
"το κολυμβητήριο","то колимвитИрьо","бассейн","досуг и спорт"
"η κοπέλα","и копЭла","девушка","семья и люди"
"η κορυφή","и корифИ","вершина, верхушка","служебные слова"
"το κόσμημα","то кОсмима","украшение, ювелирное изделие","одежда"
"ο κόσμος","о кОсмос","люди, толпа, мир","служебные слова"
"κοστίζω","костИзо","стоить","глаголы"
"το κοστούμι","то костУми","костюм","одежда"
"η κουβέρτα","и кувЭрта","одеяло","дом"
"η ηλεκτρική κουζίνα","и илэктрикИ кузИна","электроплита","дом"
"ο κουμπάρος","о кумбАрос","шафер, крёстный отец","семья и люди"
"η κουμπάρα","и кумбАра","подружка невесты, крёстная мать","семья и люди"
"το κουνουπίδι","то кунупИди","цветная капуста","еда и напитки"
"η κουταλιά","и кутальЯ","ложка (мера, содержимое)","еда и напитки"
"το κουτί","то кутИ","коробка","покупки и деньги"
"κουράζω","курАзо","утомлять","глаголы"
"η κούραση","и кУраси","усталость","тело и здоровье"
"κουραστικός; κουραστική; κουραστικό","курастикОс; курастикИ; курастикО","утомительный","прилагательные"
"η κουρτίνα","и куртИна","штора","дом"
"κρατάω; κρατώ","кратАо; кратО","держать; длиться","глаголы"
"κρατικός; κρατική; κρατικό","кратикОс; кратикИ; кратикО","государственный","прилагательные"
"η κρέμα","и крЭма","крем","покупки и деньги"
"Κρητικός; Κρητικιά","критикОс; критикьЯ","критский, с Крита","город и направления"
"το κριθάρι","то критАри","ячмень","еда и напитки"
"κρύβω","крИво","прятать","глаголы"
"το κρύο","то крИо","холод","погода и природа"
"κάνει κρύο","кАни крИо","холодно","погода и природа"
"κρυώνω","криОно","мёрзнуть","глаголы"
"το κτίριο","то ктИрьо","здание","город и направления"
"ο κύκλος","о кИклос","круг","служебные слова"
"το κυλικείο","то киликИо","школьный буфет, столовая","учёба"
"το κύμα","то кИма","волна","погода и природа"
"η κυρία","и кирИа","госпожа, дама","семья и люди"
"ο κύριος","о кИрьос","господин, сударь","семья и люди"
"κωμικός; κωμική; κωμικό","комикОс; комикИ; комикО","комичный, смешной","прилагательные"
"η Κωνσταντινούπολη","и констандинУполи","Константинополь, Стамбул","город и направления"
"ο λαβύρινθος","о лавИринтос","лабиринт","служебные слова"
"η λαϊκή μουσική","и лаикИ мусикИ","народная (популярная) музыка","досуг и спорт"
"ο λάτιν χορός","о лАтин хорОс","латиноамериканский танец","досуг и спорт"
"το λαχανικό","то лаханикО","овощ","еда и напитки"
"λείπω","лИпо","отсутствовать","глаголы"
"η λειτουργία","и литурйИа","функция, работа (механизма)","служебные слова"
"ο λεκές","о лэкЭс","пятно","дом"
"η λέξη","и лЭкси","слово","учёба"
"το λεξικό","то лэксикО","словарь","учёба"
"το λεξιλόγιο","то лэксилОйо","словарный запас","учёба"
"η λεπτομέρεια","и лэптомЭрья","деталь, подробность","служебные слова"
"τα λεφτά","та лэфтА","деньги","покупки и деньги"
"λήγω","лИго","истекать (о сроке годности)","глаголы"
"λήγω","лИго","заканчиваться (о действии)","глаголы"
"το ληξιαρχείο","то ликсьархИо","ЗАГС, регистрационный отдел","служебные слова"
"η λιακάδα","и льакАда","солнечная погода","погода и природа"
"λίγοι; λίγες; λίγα","лИги; лИйэс; лИга","немного, несколько (о счётном)","служебные слова"
"λίγος; λίγη; λίγο","лИгос; лИйи; лИго","немного (о несчётном)","служебные слова"
"το λιμάνι","то лимАни","порт, гавань","транспорт и путешествия"
"λιώνω","льОно","таять, плавиться","глаголы"
"τα λόγια","та лОя","слова, речь","служебные слова"
"η λογοτεχνία","и логотэхнИа","литература","учёба"
"λυπάμαι","липАмэ","сожалеть, грустить","глаголы"
"η λύση","и лИси","решение (задачи)","служебные слова"
"μ.μ.","м.м.","после полудня (сокращение)","время"
"μα","ма","но","служебные слова"
"το μαγαζί","то магазИ","магазин, лавка","покупки и деньги"
"το μαγιό","то майО","купальник, плавки","одежда"
"η μαγειρική","и майирикИ","кулинария","еда и напитки"
"μαζεύω από κάτω","мазЭво апО кАто","подбирать (с земли)","глаголы"
"μαζεύω","мазЭво","собирать","глаголы"
"μαζί","мазИ","вместе","служебные слова"
"μαζί με","мазИ мэ","вместе с","служебные слова"
"τα Μαθηματικά","та матиматикА","математика","учёба"
"τα μακαρόνια","та макарОнья","макароны","еда и напитки"
"μακάρι","макАри","если бы только, вот бы","служебные слова"
"μαλακός; μαλακή; μαλακό","малакОс; малакИ; малакО","мягкий","прилагательные"
"μαλώνω","малОно","ругаться, ссориться","глаголы"
"η μαμά","и мамА","мама","семья и люди"
"μαντεύω","мандЭво","угадывать","глаголы"
"το μαξιλάρι","то максилАри","подушка","дом"
"η μάρκα αυτοκινήτου","и мАрка афтокинИту","марка автомобиля","транспорт и путешествия"
"το μαρούλι","то марУли","салат-латук","еда и напитки"
"ο μάρτυρας; η μάρτυρας","о мАртирас; и мАртирас","свидетель","служебные слова"
"η μάσκα","и мАска","маска","служебные слова"
"η μάσκα ομορφιάς","и мАска оморфьАс","косметическая маска для лица","покупки и деньги"
"το μαχαίρι","то махЭри","нож","дом"
"μεγαλώνω","мэгалОно","взрослеть","глаголы"
"μεγαλώνω","мэгалОно","увеличиваться, расти","глаголы"
"το μέγαρο","то мЭгаро","дворец, особняк","дом"
"μελαχρινός; μελαχρινή; μελαχρινό","мэлахринОс; мэлахринИ; мэлахринО","темноволосый, смуглый","чувства и характер"
"το μέλι","то мЭли","мёд","еда и напитки"
"το μέλλον","то мЭлон","будущее","время"
"ο μεζές","о мэзЭс","закуска","еда и напитки"
"μειωμένος; μειωμένη; μειωμένο","мьомЭнос; мьомЭни; мьомЭно","сниженный, уменьшенный","прилагательные"
"μερικοί; μερικές; μερικά","мэрикИ; мэрикЭс; мэрикА","некоторые, несколько","служебные слова"
"το μέρος","то мЭрос","место","служебные слова"
"το μέρος","то мЭрос","часть","служебные слова"
"μέσα σε","мЭса сэ","внутри, в течение","служебные слова"
"το μεσημεριανό","то мэсимэрьанО","обед","еда и напитки"
"ο μεσίτης; η μεσίτρια","о мэсИтис; и мэсИтрья","риелтор, маклер","работа и профессии"
"η μετακίνηση","и мэтакИниси","перемещение, переезд","транспорт и путешествия"
"μετακομίζω","мэтакомИзо","переезжать","глаголы"
"μεταφέρω","мэтафЭро","перевозить, переносить","глаголы"
"το μεταφορικό μέσο","то мэтафорикО мЭсо","транспортное средство","транспорт и путешествия"
"μέτριος; μέτρια; μέτριο","мЭтрьос; мЭтрья; мЭтрьо","средний, умеренный","прилагательные"
"το μήνυμα","то мИнима","сообщение","служебные слова"
"μήπως","мИпос","не... ли (вежливый вопрос)","служебные слова"
"η μητέρα","и митЭра","мать","семья и люди"
"το μικρόφωνο","то микрОфоно","микрофон","служебные слова"
"μισός; μισή; μισό","мисОс; мисИ; мисО","половина, половинный","числа"
"το μνημείο","то мнимИо","памятник","город и направления"
"η μόδα","и мОда","мода","одежда"
"μοναδικός; μοναδική; μοναδικό","монадикОс; монадикИ; монадикО","уникальный, единственный в своём роде","прилагательные"
"μόνιμα","мОнима","постоянно","служебные слова"
"η μονοκατοικία","и монокатикИа","отдельный дом (не квартира)","дом"
"μόνος; μόνη; μόνο","мОнос; мОни; мОно","один, в одиночестве","прилагательные"
"το μονόκλινο δωμάτιο","то монОклино домАтьо","одноместный номер","транспорт и путешествия"
"μοντέρνος; μοντέρνα; μοντέρνο","мондЭрнос; мондЭрна; мондЭрно","современный","прилагательные"
"ο μουσακάς","о мусакАс","мусака (греческое блюдо)","еда и напитки"
"το μουσικό κουτί","то мусикО кутИ","музыкальная шкатулка","досуг и спорт"
"το μουσικό όργανο","то мусикО Органо","музыкальный инструмент","досуг и спорт"
"ο μουσικός; η μουσικός","о мусикОс; и мусикОс","музыкант","работа и профессии"
"ο μπακλαβάς","о баклавАс","пахлава (греческая сладость)","еда и напитки"
"ο μπαμπάς","о бамбАс","папа","семья и люди"
"η μπανιέρα","и баньЭра","ванна","дом"
"το μπαρ","то бар","бар","город и направления"
"κάνω μπάνιο","кАно бАньо","принимать ванну","дом"
"κάνω μπάνιο","кАно бАньо","купаться (в море)","транспорт и путешествия"
"μπερδεύω","бэрдЭво","путать, запутывать","глаголы"
"το μπουκάλι","то букАли","бутылка","еда и напитки"
"το μπρόκολο","то брОколо","брокколи","еда и напитки"
"μπροστά από","бростА апО","перед, впереди","служебные слова"
"η μπριζόλα","и бризОла","стейк, отбивная","еда и напитки"
"η μπύρα","и бИра","пиво","еда и напитки"
"το μυστικό","то мистикО","секрет","служебные слова"
"το μωρό","то морО","младенец","семья и люди"
"Να ζήσεις!","на зИсис!","С днём рождения!","приветствия"
"ο ναός","о наОс","храм","город и направления"
"νεαρός; νεαρή; νεαρό","нэарОс; нэарИ; нэарО","молодой","прилагательные"
"νευριάζω","нэврьАзо","злиться, раздражаться","глаголы"
"το νηπιαγωγείο","то нипьагойИо","детский сад","учёба"
"το νησί","то нисИ","остров","город и направления"
"νησιώτικος; νησιώτικη; νησιώτικο","нисьОтикос; нисьОтики; нисьОтико","островной","прилагательные"
"ο νικητής; η νικήτρια","о никитИс; и никИтрья","победитель","досуг и спорт"
"νοικιάζω","никьАзо","снимать, арендовать","глаголы"
"ο νονός","о нонОс","крёстный отец","семья и люди"
"η νονά","и нонА","крёстная мать","семья и люди"
"η νότα","и нОта","нота","досуг и спорт"
"νότιος; νότια; νότιο","нОтьос; нОтья; нОтьо","южный","прилагательные"
"το νούμερο","то нУмэро","номер, размер","числа"
"το ντοκιμαντέρ","то докимандЭр","документальный фильм","досуг и спорт"
"το ντουλάπι","то дулАпи","шкафчик, тумбочка","дом"
"νυστάζω","нистАзо","хотеть спать","тело и здоровье"
"νυχτερινός; νυχτερινή; νυχτερινό","нихтэринОс; нихтэринИ; нихтэринО","ночной","прилагательные"
"ξανά","ксанА","снова","служебные слова"
"ξαναβλέπω","ксанавлЭпо","снова увидеться","глаголы"
"ξαναγυρίζω","ксанайирИзо","возвращаться снова","глаголы"
"ξαναδιαβάζω","ксанадьавАзо","перечитывать","глаголы"
"ξαναδίνω","ксанадИно","давать снова","глаголы"
"ξαναμιλάω; ξαναμιλώ","ксанамилАо; ксанамилО","снова говорить","глаголы"
"ξαναλέω","ксаналЭо","повторять, говорить снова","глаголы"
"ξαναπερνάω; ξαναπερνώ","ксанапэрнАо; ксанапэрнО","снова заходить, проходить","глаголы"
"ξανθός; ξανθή; ξανθό","ксантОс; ксантИ; ксантО","светловолосый, блондин","чувства и характер"
"ξένος; ξένη; ξένο","ксЭнос; ксЭни; ксЭно","иностранный, чужой","прилагательные"
"ξεπερνάω; ξεπερνώ","ксэпэрнАо; ксэпэрнО","превышать, преодолевать","глаголы"
"ξεπλένω","ксэплЭно","ополаскивать","глаголы"
"ξεχωριστός; ξεχωριστή; ξεχωριστό","ксэхористОс; ксэхористИ; ксэхористО","особенный, отдельный","прилагательные"
"ξηρός; ξηρή; ξηρό","ксирОс; ксирИ; ксирО","сухой","прилагательные"
"ο ξηρός καρπός","о ксирОс карпОс","сухофрукт, орех","еда и напитки"
"ξοδεύω","ксодЭво","тратить","глаголы"
"το ξύδι","то ксИди","уксус","еда и напитки"
"ξύλινος; ξύλινη; ξύλινο","ксИлинос; ксИлини; ксИлино","деревянный","прилагательные"
"όγδοος; όγδοη; όγδοο","Огдоос; Огдои; Огдоо","восьмой","числа"
"ο οδοντίατρος; η οδοντίατρος","о одондИатрос; и одондИатрос","стоматолог","работа и профессии"
"η οδηγία","и одийИа","инструкция, указание","служебные слова"
"οδηγάω; οδηγώ","одигАо; одигО","водить (машину), направлять","глаголы"
"ο; η; το","о; и; то","определённый артикль (тот/та/то)","местоимения и вопросы"
"το οικογενειακό δέντρο","то икойэньакО дЭндро","семейное древо","семья и люди"
"η οικογενειακή κατάσταση","и икойэньакИ катАстаси","семейное положение","семья и люди"
"το οινόπνευμα","то инОпнэвма","спирт, алкоголь","еда и напитки"
"η οδός","и одОс","улица, дорога","город и направления"
"ολόκληρος; ολόκληρη; ολόκληρο","олОклирос; олОклири; олОклиро","целый, весь","прилагательные"
"η ομάδα","и омАда","команда, группа","досуг и спорт"
"ο ομιλητής; η ομιλήτρια","о омилитИс; и омилИтрья","докладчик, лектор","работа и профессии"
"η ομίχλη","и омИхли","туман","погода и природа"
"η ομορφιά","и оморфьЯ","красота","чувства и характер"
"η ομπρέλα","и омбрЭла","зонт","одежда"
"ονειρεύομαι","онирЭвомэ","мечтать, видеть сон","глаголы"
"το ονοματεπώνυμο","то ономатэпОнимо","полное имя (имя и фамилия)","служебные слова"
"το οξυγόνο","то оксигОно","кислород","служебные слова"
"όποιος; όποια; όποιο","Опьос; Опья; Опьо","кто бы ни, любой (относит.)","местоимения и вопросы"
"οριζόντια","оризОндья","горизонтально","служебные слова"
"ο όροφος","о Орофос","этаж","дом"
"όσα","Оса","всё то, что","местоимения и вопросы"
"το όσπριο","то Оспрьо","бобовое (растение)","еда и напитки"
"ό,τι","О,ти","что бы ни, всё что","местоимения и вопросы"
"το ουζερί","то узэрИ","узери (греческая таверна с узо и закусками)","еда и напитки"
"το ούζο","то Узо","узо (греческий алкогольный напиток)","еда и напитки"
"π.μ.","п.м.","до полудня (сокращение)","время"
"ο πάγος","о пАгос","лёд","погода и природа"
"η παγωνιά","и пагоньЯ","мороз, сильный холод","погода и природа"
"παθαίνω","патЭно","претерпевать, испытывать (неприятность)","глаголы"
"τα παιδιά","та пэдьЯ","дети","семья и люди"
"παιδικός; παιδική; παιδικό","пэдикОс; пэдикИ; пэдикО","детский","прилагательные"
"το παιχνίδι","то пэхнИди","игра, игрушка","досуг и спорт"
"πάλι","пАли","снова, опять","служебные слова"
"πανεπιστημιακός; πανεπιστημιακή; πανεπιστημιακό","панэпистимьакОс; панэпистимьакИ; панэпистимьакО","университетский","учёба"
"η πανσέληνος","и пансЭлинос","полнолуние","погода и природа"
"το παντζάρι","то пандзАри","свёкла","еда и напитки"
"παντρεμένος; παντρεμένη","пандрэмЭнос; пандрэмЭни","женатый, замужняя","семья и люди"
"παντρεύω","пандрЭво","женить","глаголы"
"παντρεύομαι","пандрЭвомэ","жениться, выходить замуж","глаголы"
"το πάπλωμα","то пАплома","одеяло (пуховое)","дом"
"η παραγωγή γραπτού λόγου","и парагойИ граптУ лОгу","письменная речь (написание текста)","учёба"
"η παραγωγή προφορικού λόγου","и парагойИ профорикУ лОгу","устная речь (говорение)","учёба"
"παραγγέλλω; παραγγέλνω","парангЭло; парангЭлно","заказывать","глаголы"
"η παραγγελία","и парангэлИа","заказ","еда и напитки"
"το παράδειγμα","то парАдигма","пример","учёба"
"παραδοσιακός; παραδοσιακή; παραδοσιακό","парадосьакОс; парадосьакИ; парадосьакО","традиционный","прилагательные"
"Παρακαλώ!","паракалО!","Пожалуйста! (в ответ на ""спасибо"")","приветствия"
"παρακάτω","паракАто","ниже, далее","служебные слова"
"η παραλία","и паралИа","пляж, побережье","город и направления"
"παρακολουθώ","параколутО","смотреть, следить за","глаголы"
"η παραμονή","и парамонИ","канун, накануне","время"
"το παράπονο","то парАпоно","жалоба","служебные слова"
"παραπάνω; πιο πάνω","парапАно; пьо пАно","выше (по тексту)","служебные слова"
"η παράσταση","и парАстаси","представление, спектакль","досуг и спорт"
"παρατηρώ","паратирО","наблюдать, замечать","глаголы"
"η παρατήρηση","и паратИриси","замечание","служебные слова"
"η παρέα","и парЭа","компания (друзей)","семья и люди"
"το πάρκιγκ","то пАркинг","парковка","транспорт и путешествия"
"η παροιμία","и паримИа","пословица, поговорка","учёба"
"παρουσιάζω","парусьАзо","представлять, показывать","глаголы"
"παρουσιάζομαι","парусьАзомэ","являться, представляться","глаголы"
"η πάστα","и пАста","пирожное","еда и напитки"
"πεθαίνω","пэтЭно","умирать","глаголы"
"πείθω","пИто","убеждать","глаголы"
"πειράζει","пирАзи","это имеет значение, это важно","служебные слова"
"δεν πειράζει","дэн пирАзи","ничего страшного","служебные слова"
"ο πελάτης; η πελάτισσα","о пэлАтис; и пэлАтиса","клиент","покупки и деньги"
"η περίπτωση","и пэрИптоси","случай","служебные слова"
"το πεντάγραμμο","то пэндАграмо","нотный стан","досуг и спорт"
"το πεπόνι","то пэпОни","дыня","еда и напитки"
"Περαστικά!","пэрастикА!","Выздоравливай(те)!","приветствия"
"περιγράφω","пэригрАфо","описывать","глаголы"
"το περιβάλλον","то пэривАлон","окружающая среда","служебные слова"
"περιλαμβάνω","пэриламвАно","включать в себя","глаголы"
"το περιοδικό","то пэрьодикО","журнал","служебные слова"
"η περιοχή","и пэрьохИ","район, область","город и направления"
"περίπου","пэрИпу","примерно, около","служебные слова"
"περισσότερος; περισσότερη; περισσότερο","пэрисОтэрос; пэрисОтэри; пэрисОтэро","больший, больше","служебные слова"
"περνάω; περνώ","пэрнАо; пэрнО","проходить, проводить (время)","глаголы"
"περνάω καλά","пэрнАо калА","хорошо проводить время","досуг и спорт"
"περπατάω; περπατώ","пэрпатАо; пэрпатО","ходить пешком","глаголы"
"πέρσι","пЭрси","в прошлом году","время"
"πετάω; πετώ","пэтАо; пэтО","летать","глаголы"
"πετάω; πετώ","пэтАо; пэтО","бросать, выбрасывать","глаголы"
"η πετσέτα","и пэцЭта","полотенце, салфетка","дом"
"πέφτω","пЭфто","падать","глаголы"
"μου πηγαίνει","му пигЭни","мне идёт (об одежде)","одежда"
"το πιάνο","то пьАно","пианино","досуг и спорт"
"το πιάτο","то пьАто","тарелка, блюдо","дом"
"η πιάτσα ταξί","и пьАца таксИ","стоянка такси","транспорт и путешествия"
"ο πίνακας","о пИнакас","доска (в классе)","учёба"
"ο πίνακας","о пИнакас","картина (произведение искусства)","досуг и спорт"
"ο πίνακας","о пИнакас","таблица, схема","учёба"
"το πιρούνι","то пирУни","вилка","дом"
"η πισίνα","и писИна","бассейн","досуг и спорт"
"πιστεύω","пистЭво","верить, считать","глаголы"
"το πιστοποιητικό","то пистопьитикО","сертификат, свидетельство","служебные слова"
"θα είμαι πίσω","та Имэ пИсо","я вернусь, я буду позже","служебные слова"
"ο πλανήτης","о планИтис","планета","служебные слова"
"πλαστικός; πλαστική; πλαστικό","пластикОс; пластикИ; пластикО","пластиковый","прилагательные"
"πλένω τα πιάτα","плЭно та пьАта","мыть посуду","дом"
"η πληγή","и плийИ","рана","тело и здоровье"
"η πληροφορία; οι πληροφορίες","и плирофорИа; и плирофорИэс","информация","служебные слова"
"πλησιάζω","плисьАзо","приближаться","глаголы"
"βάζω πλυντήριο","вАзо плиндИрьо","стирать (запускать стиральную машину)","дом"
"πνίγομαι","пнИгомэ","подавиться, задыхаться","тело и здоровье"
"πνίγομαι","пнИгомэ","тонуть","тело и здоровье"
"η ποδιά","и подьЯ","фартук","одежда"
"ποιανού; ποιανής","пьанУ; пьанИс","чей, чья","местоимения и вопросы"
"η ποιότητα","и пьОтита","качество","служебные слова"
"ο πολιτισμός","о политисмОс","цивилизация, культура","учёба"
"πολιτιστικός; πολιτιστική; πολιτιστικό","политистикОс; политистикИ; политистикО","культурный","прилагательные"
"ο πολίτης","о полИтис","гражданин","служебные слова"
"πολλοί; πολλές; πολλά","полИ; полЭс; полА","многие, много (о счётном)","служебные слова"
"η πολυθρόνα","и политрОна","кресло","дом"
"η πολυκατοικία","и поликатикИа","многоквартирный дом","дом"
"πολύχρωμος; πολύχρωμη; πολύχρωμο","полИхромос; полИхроми; полИхромо","разноцветный","цвета"
"ο πονόδοντος","о понОдондос","зубная боль","тело и здоровье"
"πονάει η κοιλιά μου","понАи и кильЯ му","у меня болит живот","тело и здоровье"
"ποντιακός; ποντιακή; ποντιακό","пондьакОс; пондьакИ; пондьакО","понтийский","город и направления"
"τα ποντίκια","та пондИкья","мыши","животные"
"το πορτοφόλι","то портофОли","кошелёк","покупки и деньги"
"πόσοι; πόσες; πόσα","пОси; пОсэс; пОса","сколько (о счётном)","местоимения и вопросы"
"πόσος; πόση; πόσο","пОсос; пОси; пОсо","сколько (о несчётном)","местоимения и вопросы"
"Πόσων χρονών είσαι;","пОсон хронОн Исэ;","Сколько тебе лет?","местоимения и вопросы"
"το ποτήρι","то потИри","стакан","дом"
"το ποτό","то потО","напиток (алкогольный)","еда и напитки"
"Από πού είσαι;","апО пу Исэ;","Ты откуда?","приветствия"
"πουθενά","путэнА","нигде","служебные слова"
"το πράγμα","то прАгма","вещь","служебные слова"
"πραγματικά","прагматикА","действительно, на самом деле","служебные слова"
"η πράξη","и прАкси","действие, поступок","служебные слова"
"πράσινος; πράσινη; πράσινο","прАсинос; прАсини; прАсино","зелёный","цвета"
"η πρεμιέρα","и прэмьЭра","премьера","досуг и спорт"
